Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
32.23111,5.669655,4.039691,7.390061,10.370312,37.379124,
1.5177528,4.4630814,15.241871,6.995773,0.920463,2.8674212,
4.5704846,14.601654,22.465117,0.13402899,11.503532,4.6685653,
2.4131348,37.064194,28.604038,0.51673406,14.850009,1.0904468,
0.67270565,6.5986476,0.8746991,26.336882,0.92844486,17.574682,
9.768228,4.657924,14.846617,0.6427956,7.9264264,1.6841545,
4.952427,0.6157923,8.671409,1.2712641,31.179821,5.4351425,
3.0374274,18.293694,12.284109,0.3867414,14.393423,6.234457,
0.119683154,23.356709,14.809844,0.66315705,3.3686676,6.398442,
14.986163,4.4408145,39.52634,1.2709374,7.043513,5.277166,
3.3021548,2.3323686,32.903225,13.070099,1.3215271,3.4193027,
21.18427,27.244398,10.719842,6.1642594,19.903568,0.5206884,
3.2085679,11.837821,6.401427,3.9903817,4.8966537,1.3862327,
3.3640409,29.240082,0.300859,3.8659601,11.126264,14.256027,
4.1593585,62.274303,10.21278,12.266098,1.3680592,0.33393905,
6.1045027,8.2098,1.7703158,4.501123,1.5769833,2.0684779,
22.07003,25.28212,6.3254166,5.541255,1.7470033,26.741415,
0.94822866,5.2420535,5.0449705,3.6174078,15.196236,10.909008,
5.708584,2.5740337,23.618542,11.631369,1.4125649,11.194789,
11.974188,2.830335,44.564083,15.006393,5.0889516,6.528731,
0.66424936,13.533847,17.975714,5.2961054,19.588509,15.014643,
37.648357,0.73158306,5.8767357,0.66479313,4.7369404,0.3457576,
22.274574,44.385757,1.6602966,5.155253,6.4122176,11.112957,
22.827248,2.5332325,20.090416,8.3999605,19.613638,5.7115912,
11.01962,39.863823,12.917996,4.8902254,3.5917559,8.572207,
7.188993,10.222783,25.071892,7.179422,8.438945,11.026793,
5.3961754,0.21680526,0.43321893,1.6785533,12.746347,14.349045,
13.865819,87.49712,28.026348,5.755344,11.256016,7.7940617,
15.913673,8.147746,12.64317,6.997906,0.61442655,1.6065807,
16.71974,2.976271,1.0129768,13.1497,15.652674,0.3609867,
9.357941,32.23739,0.79257596,1.5408658,18.913044,7.028116,
9.80949,50.91095,16.173042,5.896088,8.938502,0.6900673,
24.046171,8.420599,6.255588,0.21405214,30.96269,
16.873665,3.829814,31.791893,8.829775,6.244775,
57.14058,13.889418,17.589508,6.32586,8.172424,
1.4935883,5.729075,7.192636,0.42672196,0.56998086,
7.6684246,63.96876,,2.6279738,5.6355166,
1.5926849,37.656307,,1.7448497,4.1320486,
0.71427995,0.18228438,,4.7609186,5.6959095,
23.132978,15.755982,,0.74698406,7.327686,
9.459781,,,2.2477086,,
4.3707,,,0.11199873,,
5.3916535,,,2.6381314,,
1.6694077,,,1.842666,,
20.03813,,,7.1979923,,
12.126291,,,9.5680275,,
11.01119,,,0.18937834,,
17.04887,,,18.670374,,
2.8240364,,,8.249739,,
2.284073,,,3.4384518,,
5.0834756,,,16.238398,,
4.458743,,,1.0351124,,
4.62361,,,3.9175434,,
3.842792,,,0.5531863,,
2.204539,,,0.059392773,,
15.093526,,,5.526271,,
1.8565083,,,5.5424657,,
6.7133827,,,1.877082,,
