11.421249,
23.134804,
68.31231,
19.046022,
20.90393,
74.727516,
40.84662,
5.772849,
26.51831,
82.5876,
1.2425978,
10.685663,
7.941971,
3.366673,
4.55979,
11.562376,
12.398273,
2.2396796,
1.6581762,
35.792385,
67.134254,
19.11382,
30.37694,
0.31909472,
9.454823,
23.130604,
39.791763,
5.025459,
16.921392,
2.2600272,
0.21908225,
15.150484,
17.870062,
16.607124,
5.5158515,
25.616096,
12.204111,
16.5371,
23.83431,
29.101278,
31.123997,
93.529655,
20.366913,
31.076048,
0.45889047,
21.415327,
76.91175,
2.649503,
3.9488728,
68.925156,
16.051908,
51.060196,
2.0211523,
33.093403,
76.41939,
11.093857,
0.78419673,
7.8834662,
30.720129,
0.23619215,
1.8192148,
11.834932,
46.932163,
32.86014,
5.068819,
4.856186,
2.7391844,
9.136029,
4.1546397,
54.191982,
4.5870833,
51.462555,
46.97627,
14.676656,
34.79745,
17.477556,
6.221614,
1.7303786,
11.137311,
3.7953892,
5.475501,
32.245106,
13.180955,
30.6646,
3.515634,
11.831934,
37.21508,
0.8335819,
10.295692,
41.5313,
6.2700534,
9.00899,
19.011547,
13.533489,
3.9378614,
3.9127016,
33.621628,
1.4258521,
38.73814,
11.438946,
29.667522,
9.417637,
5.254164,
13.54896,
5.229452,
45.734573,
1.3619928,
28.109497,
0.33745784,
35.05929,
41.288574,
57.76334,
14.288163,
3.3155704,
24.483273,
8.065088,
4.4849014,
16.707579,
1.356992,
3.2856452,
19.317533,
7.14466,
10.116997,
8.598037,
2.476187,
38.05347,
11.883455,
23.686306,
29.52002,
8.527167,
24.104053,
1.5325928,
28.19452,
18.47293,
15.649801,
12.203229,
0.5966167,
15.394202,
6.6867776,
20.891632,
66.64827,
62.696636,
9.519995,
32.702095,
1.2110158,
29.876106,
35.342678,
4.323167,
4.3083577,
7.380339,
47.660297,
3.3967607,
1.4019148,
41.045765,
12.633733,
44.226177,
41.07685,
5.3668103,
28.643456,
0.92025584,
9.634571,
18.25289,
23.110483,
14.910251,
53.36,
8.180172,
4.906418,
2.3436036,
5.6985235,
30.294708,
8.0442295,
2.642121,
0.8663583,
10.465732,
20.97141,
16.478436,
37.12506,
50.633724,
34.78387,
1.0092957,
18.821198,
3.2530851,
9.154409,
36.72936,
17.089415,
1.8628318,
41.528164,
2.3730764,
35.53649,
10.7615185,
46.571335,
69.026245,
0.60807234,
7.9789286,
49.564754,
8.389442,
25.41523,
17.438824,
22.920507,
33.728024,
4.637364,
7.0163336,
2.2721963,
20.592823,
26.590889,
1.5431118,
