Current Time,Inspector 1,Inspector 2,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Workstation 1,W1-C1,Workstation 2,W2-C1,W2-C2,Workstation 3,W3-C1,W3-C3 ,INSP1 B,Total,INSP2 B,Total,Total,,,
0,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,0,0,5766.17,7199.59,640,40,27
1.83,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
16.89,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
17.26,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
20.8,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
37.48,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
38.05,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
38.68,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
41.18,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
51.33,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
60.77,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
62.5,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
77.46,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
78.16,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
88,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
106.68,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
120.74,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
123.36,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
124.14,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
132.88,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
136.76,INSCPECTING,INSCPECTING,0,0,0,0,1,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
142.12,INSCPECTING,INSCPECTING,0,0,0,0,1,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
142.57,INSCPECTING,INSCPECTING,0,0,0,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
142.74,INSCPECTING,INSCPECTING,0,0,1,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
149.63,INSCPECTING,INSCPECTING,0,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
153.91,INSCPECTING,INSCPECTING,0,0,1,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
164.39,INSCPECTING,INSCPECTING,0,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
168.86,INSCPECTING,INSCPECTING,0,0,1,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
174.58,INSCPECTING,INSCPECTING,0,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
175.81,INSCPECTING,INSCPECTING,1,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
176.39,INSCPECTING,INSCPECTING,0,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
176.4,INSCPECTING,INSCPECTING,0,0,1,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
190.75,INSCPECTING,BLOCKED,0,0,1,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,6.57,,,,,
197.32,INSCPECTING,BLOCKED,0,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0.6,,,,,
197.92,INSCPECTING,BLOCKED,0,0,1,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,13.41,,,,,
211.33,INSCPECTING,BLOCKED,0,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,5.7,,,,,
217.03,INSCPECTING,BLOCKED,0,0,1,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,1.23,,,,,
218.26,INSCPECTING,BLOCKED,0,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,6,,,,,
224.26,INSCPECTING,BLOCKED,1,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,4.48,,,,,
228.74,INSCPECTING,BLOCKED,0,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,3.09,,,,,
231.83,INSCPECTING,BLOCKED,1,0,1,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,5.18,,,,,
237.01,INSCPECTING,BLOCKED,1,0,1,0,2,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0.56,,,,,
237.57,INSCPECTING,BLOCKED,0,0,1,0,2,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0.31,,,,,
237.88,INSCPECTING,BLOCKED,0,0,1,0,2,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,6.17,,,,,
244.05,INSCPECTING,BLOCKED,0,0,0,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,21.71,,,,,
265.76,INSCPECTING,BLOCKED,0,0,0,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,2.25,,,,,
268.01,INSCPECTING,BLOCKED,0,0,0,0,2,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,6.85,,,,,
274.86,INSCPECTING,BLOCKED,0,0,0,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,3.17,,,,,
278.03,INSCPECTING,BLOCKED,1,0,0,0,2,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,1.19,,,,,
