Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
1.8317705,40.675125,37.485878,15.429216,7.034385,9.198536,
15.050215,0.16824323,58.59928,3.5369694,4.8850064,0.1622055,
21.152546,3.6215255,5.8036456,3.1243098,6.476884,4.96767,
0.62017995,4.043141,48.005054,19.584578,4.108735,16.248571,
12.649367,24.104006,1.4485425,1.7288717,6.3594093,2.5472426,
26.126125,9.4653635,14.279449,10.533882,4.7595253,2.428089,
29.219906,21.116928,36.584675,16.671831,31.34786,7.3469253,
14.051138,22.72819,20.600355,0.77048546,7.908906,29.701088,
12.130265,4.519019,10.84729,9.231578,27.95505,0.901071,
16.746119,6.507833,2.8010077,4.2785664,14.841133,4.9638243,
14.750834,6.9824133,49.728374,4.4664726,23.027092,2.181937,
10.189868,1.6102433,24.52519,1.807419,1.9163123,13.95912,
1.2279153,23.280298,0.58884937,0.0037117125,6.4662304,12.427358,
21.501032,29.295391,30.40776,0.5977747,0.4111604,23.790083,
14.002825,19.61262,23.147617,5.699005,2.529963,17.301167,
6.9272723,1.0174837,107.695015,10.471408,7.23962,23.997766,
5.9923954,5.719477,21.847992,8.8268175,10.180824,8.387551,
7.566185,5.2079124,3.3549376,0.30121264,14.731807,0.90742624,
5.1762967,13.707148,14.965908,2.246968,5.865929,0.718768,
28.747713,8.460115,9.725565,4.350041,0.47027677,30.22046,
9.095368,11.997511,4.7361207,4.0571175,1.7274336,3.4022236,
3.1609886,3.6820023,40.82178,1.6877834,3.7741337,19.782436,
1.4716744,16.800665,2.0257263,10.472153,6.50757,0.84854144,
6.4493594,31.260593,80.782974,0.76786864,9.856141,38.44413,
3.9876096,6.125216,21.05129,0.6678469,10.839275,5.1999516,
13.836096,19.690208,16.304268,7.2507825,36.444035,1.0956975,
1.621608,56.022484,36.871475,18.66392,1.1395664,0.79529476,
14.191249,3.3962417,14.3014145,1.5027673,2.734747,
18.277578,7.3522205,21.610352,4.7208323,6.7398095,
4.542451,5.4121737,41.23222,2.7811916,5.282668,
4.0062575,0.1780544,30.490582,6.869009,4.8841963,
8.2632475,23.11199,,4.1712193,0.25029352,
11.593746,28.140837,,2.2313683,39.677235,
1.7683173,6.988255,,0.26146075,7.650267,
2.2910373,5.1873846,,8.910747,0.6263864,
7.428752,27.00781,,0.015955556,22.248226,
38.04042,82.84845,,2.631631,1.0121558,
1.5542107,15.654455,,10.167748,22.864733,
14.975915,9.546479,,4.422949,6.5974064,
5.9184995,1.1098915,,3.6908102,28.680069,
0.50821614,,,19.926857,,
1.8003542,,,0.99147326,,
2.5574098,,,6.38159,,
7.6206627,,,0.9655023,,
39.099724,,,2.7124586,,
16.470194,,,3.9292104,,
9.0250435,,,8.933231,,
7.169093,,,1.0208714,,
2.826543,,,1.5996464,,
5.1785865,,,3.790168,,
36.91458,,,2.961077,,
9.399395,,,6.1591234,,
7.3507147,,,7.1829247,,
21.6671,,,6.504377,,
7.563316,,,3.9579937,,
17.012281,,,9.210593,,
4.175139,,,0.133117,,
7.000671,,,12.04298,,
2.447566,,,0.4466974,,
3.6031997,,,0.031266913,,
8.335463,,,2.9334729,,
9.451208,,,1.6882043,,
4.8651285,,,5.41951,,
30.168812,,,1.6030859,,
35.11996,,,7.9550257,,
6.019879,,,1.6941864,,
3.301247,,,6.0397587,,
23.496632,,,4.3360023,,
19.962917,,,0.81630033,,
17.866764,,,6.80482,,
2.5155125,,,3.3624763,,
3.0256913,,,0.07817793,,
1.8234855,,,2.9125588,,
0.21889134,,,7.437941,,
3.736089,,,1.4293244,,
6.3070145,,,1.0085702,,
5.0225244,,,2.9680958,,
10.655046,,,3.2331972,,
31.352291,,,14.646592,,
13.3190155,,,2.3517425,,
13.701236,,,31.039,,
4.047371,,,4.539228,,
18.141338,,,8.188566,,
7.041987,,,3.7684507,,
1.3778185,,,0.8379942,,
1.5093957,,,11.937669,,
0.023755586,,,0.44421506,,
11.115997,,,4.9659977,,
10.413517,,,22.739925,,
12.6832695,,,0.8202463,,
8.840416,,,1.7010802,,
18.563429,,,1.8244917,,
11.633744,,,4.575249,,
9.234722,,,0.8453214,,
12.391547,,,4.914073,,
17.38152,,,0.08675676,,
5.5629244,,,6.0061183,,
8.75526,,,1.751399,,
28.769123,,,10.332521,,
4.6762037,,,0.79899406,,
7.023703,,,1.2153738,,
9.696565,,,0.13745421,,
21.831987,,,5.1762757,,
6.8493667,,,1.6922892,,
7.58173,,,6.990714,,
1.356823,,,0.42165974,,
3.7873826,,,0.9377765,,
3.5574243,,,5.297826,,
44.056633,,,4.511816,,
12.143436,,,1.477597,,
16.698748,,,2.1038208,,
9.674834,,,5.0679317,,
1.6229886,,,3.6688242,,
14.615598,,,5.3885317,,
12.623428,,,2.0359488,,
13.904938,,,3.5331347,,
1.9033917,,,0.32885018,,
5.275643,,,13.083252,,
28.11028,,,2.4883194,,
9.246412,,,3.7208588,,
1.5501406,,,10.595369,,
23.912182,,,0.14408435,,
12.572492,,,4.1910872,,
2.814307,,,4.5200396,,
1.950981,,,0.30464405,,
21.105167,,,2.162821,,
8.922048,,,6.912459,,
1.664694,,,0.19831921,,
9.069347,,,4.8825207,,
1.1146425,,,7.4776535,,
5.9820695,,,0.8910824,,
20.992567,,,1.5098095,,
9.715424,,,0.84030104,,
4.597891,,,1.2371038,,
5.119299,,,1.4769319,,
46.87327,,,2.4219635,,
10.6325655,,,0.22931139,,
13.735613,,,7.8921185,,
17.169786,,,2.4140573,,
6.6153173,,,0.7457741,,
7.77857,,,8.183326,,
10.254315,,,6.5997605,,
30.493982,,,4.20962,,
12.944638,,,1.1202182,,
10.853967,,,3.5782716,,
1.1870167,,,4.318834,,
