Current Time,Inspector 1,Inspector 2,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Workstation 1,W1-C1,Workstation 2,W2-C1,W2-C2,Workstation 3,W3-C1,W3-C3,,,,,,868,189,195
192.17,INSPECTING,INSPECTING,0,0,0,1,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
192.5,INSPECTING,INSPECTING,0,0,0,1,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
194.76,INSPECTING,INSPECTING,1,1,0,1,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
196.24,INSPECTING,INSPECTING,0,1,0,1,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
196.96,INSPECTING,INSPECTING,0,1,0,1,0,BLOCKED,FALSE,BLOCKED,TRUE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
200.27,INSPECTING,INSPECTING,0,1,0,0,0,BLOCKED,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
207.86,INSPECTING,INSPECTING,0,1,0,0,0,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
208.85,INSPECTING,INSPECTING,0,1,0,1,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
209.51,INSPECTING,INSPECTING,0,1,0,1,0,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
215.59,INSPECTING,INSPECTING,0,1,0,2,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
220.34,INSPECTING,INSPECTING,0,1,0,2,0,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
224.16,INSPECTING,INSPECTING,0,0,0,2,0,BLOCKED,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
227.76,INSPECTING,INSPECTING,1,0,0,2,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
229.32,INSPECTING,INSPECTING,0,0,0,2,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
231.63,INSPECTING,INSPECTING,0,0,0,2,0,BLOCKED,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
