Current Time,Inspector 1,Inspector 2,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Workstation 1,W1-C1,Workstation 2,W2-C1,W2-C2,Workstation 3,W3-C1,W3-C3 ,INSP1 B,Total,INSP2 B,Total,Total,,,
0,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,0,0,5904.08,7192.57,621,46,29
0.64,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
3,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
7.4,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
10.43,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
14.76,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
19.86,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
21.96,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
22.56,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,
30.13,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,
42.31,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,
44.21,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
49.21,INSCPECTING,INSCPECTING,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
55.44,INSCPECTING,INSCPECTING,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
55.45,INSCPECTING,INSCPECTING,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,
56.85,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,12.33,,,,,
69.18,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,2.59,,,,,
