Current Time,Inspector 1,Inspector 2,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Workstation 1,W1-C1,Workstation 2,W2-C1,W2-C2,Workstation 3,W3-C1,W3-C3 
0,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,false,BLOCKED,false,false
1.34,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,false
2.92,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,false
3.93,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,true,false,BLOCKED,false,false
6.36,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,true,false,BLOCKED,false,false
9.75,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,true,false,BLOCKED,false,false
12.8,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,WORKING,false,false,BLOCKED,false,false
18.01,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,false
19.74,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,WORKING,false,false,BLOCKED,false,false
21.07,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,false
27.12,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,WORKING,false,false,BLOCKED,false,false
33.35,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,false
34.59,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,WORKING,false,false,BLOCKED,false,false
37.46,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,WORKING,false,false,BLOCKED,false,true
45.93,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,true
47.03,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,WORKING,false,false,BLOCKED,false,true
49.57,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,false,BLOCKED,false,true
51.37,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
51.56,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,false,BLOCKED,false,true
63.12,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
63.86,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,false,BLOCKED,false,true
65.37,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
66.42,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
68.89,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
72.02,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
75.7,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
81.27,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
83.74,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
86.93,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,true
87.1,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
92.23,INSCPECTING,INSCPECTING,1,0,0,0,1,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
98.18,INSCPECTING,INSCPECTING,0,0,0,0,1,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
106.73,INSCPECTING,INSCPECTING,0,0,0,0,1,BLOCKED,false,BLOCKED,false,false,BLOCKED,false,true
108.84,INSCPECTING,INSCPECTING,0,0,0,0,2,BLOCKED,false,BLOCKED,false,false,BLOCKED,false,true
109.91,INSCPECTING,INSCPECTING,0,0,0,0,2,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
112.6,INSCPECTING,INSCPECTING,1,0,0,0,2,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
113.34,INSCPECTING,INSCPECTING,1,0,0,0,2,WORKING,false,BLOCKED,true,false,BLOCKED,false,true
114.11,INSCPECTING,INSCPECTING,0,0,0,0,2,WORKING,false,BLOCKED,true,false,BLOCKED,false,true
115.09,INSCPECTING,INSCPECTING,0,0,0,0,2,BLOCKED,false,BLOCKED,true,false,BLOCKED,false,true
126.53,INSCPECTING,INSCPECTING,0,0,0,0,2,WORKING,false,BLOCKED,true,false,BLOCKED,false,true
131.59,INSCPECTING,INSCPECTING,1,0,0,0,2,WORKING,false,BLOCKED,true,false,BLOCKED,false,true
132.06,INSCPECTING,INSCPECTING,0,0,0,0,2,WORKING,false,BLOCKED,true,false,BLOCKED,false,true
