Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
14.1921625,9.413997,6.299158,5.6501956,9.167324,3.044926,
1.3092773,18.907742,24.196157,2.6068802,27.295855,7.1476355,
19.805622,49.656788,15.95117,11.352431,2.245023,19.66167,
4.259763,9.710888,3.5251048,6.067172,4.477888,56.449074,
2.82502,1.5440736,23.879858,5.975525,19.482983,4.3603005,
10.8463545,14.244719,7.139723,2.1766067,11.850135,11.295943,
0.8264844,3.1248782,53.29727,8.788257,6.9949584,1.831423,
25.232775,10.4253235,1.3565599,9.552924,13.024927,12.876691,
3.635804,23.973854,55.678646,4.419069,14.7194605,3.0755627,
19.564787,1.5004956,4.5334597,0.46523517,3.7271729,2.5228956,
1.0532092,5.9409437,15.22723,6.872596,15.249699,7.7667036,
4.875802,1.1910925,25.637146,0.51109445,1.5879244,6.083565,
15.915588,1.3571433,1.9392394,9.0722065,3.6817107,6.716025,
20.363848,14.927684,2.0230756,5.5150547,58.568165,24.146263,
19.666586,10.815719,11.670849,3.1197062,1.0153282,4.410774,
9.903615,2.8108191,9.953084,3.40625,17.065355,8.073219,
0.6195121,22.80515,97.30605,3.093545,3.598792,12.11647,
13.918201,15.246299,27.355156,1.9047718,6.3391504,3.1868274,
1.0781101,47.239803,2.0181453,3.4640415,5.663718,27.62356,
13.834326,32.87124,79.40838,0.9965744,13.6206665,0.2866827,
19.383566,11.575032,8.535513,0.5846541,13.947262,17.709484,
7.9501667,1.8820026,8.944513,4.014376,3.1379201,2.0444129,
1.073936,2.5265648,25.716845,7.7665973,63.091175,0.3064553,
12.831948,15.008193,8.913303,0.8662719,0.024394259,2.9681046,
14.715216,1.3975147,18.008654,30.626183,14.8563175,3.9224195,
3.6401188,8.251706,12.242445,1.4577671,0.34650573,
19.637617,1.6922388,2.1021252,9.247968,12.343586,
9.913531,0.6991367,5.4235992,0.16216102,5.579799,
10.372025,12.7410345,,9.235458,31.025934,
18.907776,8.570753,,2.1667624,71.580734,
4.1645374,46.183964,,0.3176828,5.282599,
10.922826,0.17155008,,4.635046,3.1359348,
1.8733703,,,0.5211717,,
0.18260477,,,0.4780757,,
25.619787,,,4.1589365,,
4.051449,,,3.1411228,,
4.817969,,,4.581381,,
12.3040085,,,0.40264174,,
5.1659303,,,11.231549,,
0.4421116,,,8.903438,,
4.4275656,,,6.794815,,
35.635452,,,5.374088,,
2.212361,,,2.9580317,,
7.8529887,,,3.0478904,,
2.3469608,,,0.43502945,,
7.9766674,,,21.459333,,
2.8355973,,,7.5455046,,
20.486053,,,1.7272009,,
0.06711871,,,0.5998329,,
7.8978996,,,6.4506426,,
18.417446,,,2.4810126,,
22.633034,,,9.965304,,
7.323049,,,3.5122676,,
1.447892,,,12.36073,,
2.2490532,,,0.5082014,,
5.5730066,,,1.9656776,,
9.023568,,,0.534281,,
15.965095,,,1.2928749,,
5.861551,,,1.4045929,,
6.060087,,,5.5703845,,
30.697863,,,9.439823,,
20.449896,,,6.810963,,
32.219093,,,2.1642401,,
4.595058,,,9.002583,,
1.6835297,,,0.94821054,,
4.572107,,,5.5827265,,
17.29628,,,0.95841444,,
12.696359,,,1.4292488,,
0.3563956,,,0.5049775,,
20.125704,,,0.621631,,
5.759855,,,1.9649348,,
35.005413,,,10.425474,,
11.101787,,,3.189545,,
0.15582791,,,10.418947,,
18.166939,,,6.811761,,
1.4280436,,,10.641765,,
3.3114643,,,9.412391,,
11.419946,,,8.012823,,
15.403174,,,4.671633,,
14.164216,,,2.9584088,,
15.65353,,,1.8204468,,
3.4536703,,,0.8097255,,
23.03758,,,8.031632,,
5.098526,,,1.0273144,,
0.070998795,,,1.3113022,,
26.576805,,,0.26340535,,
17.314487,,,3.9188862,,
5.8554645,,,2.6489885,,
11.481322,,,0.3213534,,
5.7481933,,,2.2276814,,
27.97295,,,1.019499,,
0.23123948,,,0.6473716,,
11.000132,,,2.0904822,,
5.3544397,,,3.3049335,,
1.008533,,,1.553206,,
8.211596,,,2.81967,,
0.55023503,,,0.35857812,,
31.697166,,,3.929751,,
9.91743,,,0.35573837,,
12.245473,,,1.8275617,,
9.131007,,,4.6585097,,
4.7346954,,,1.225399,,
14.150198,,,4.855515,,
19.942436,,,0.89988124,,
7.0598006,,,9.038649,,
6.914635,,,2.9288166,,
13.77688,,,3.678495,,
15.0780735,,,2.4740286,,
27.225914,,,3.159078,,
11.296137,,,0.8874484,,
3.3820975,,,4.9554086,,
4.0524516,,,1.0043497,,
4.641857,,,8.826501,,
4.11401,,,3.5134552,,
11.467405,,,6.927208,,
15.607743,,,9.0306425,,
7.028511,,,2.6855402,,
3.198796,,,8.308662,,
2.3348851,,,2.4915662,,
9.745869,,,19.03774,,
14.236759,,,9.661729,,
5.971269,,,0.6033213,,
17.11667,,,2.6379855,,
32.672527,,,5.274801,,
9.337321,,,14.940882,,
2.555578,,,3.6411161,,
5.2291236,,,0.9256863,,
6.658199,,,11.309717,,
15.785626,,,7.10578,,
14.918954,,,3.3774745,,
17.387808,,,12.967996,,
0.809742,,,3.3689463,,
16.801476,,,3.540278,,
17.048275,,,1.4839085,,
15.194801,,,4.038604,,
2.0438247,,,2.5798688,,
36.59133,,,2.3532588,,
19.86993,,,7.845437,,
7.077384,,,3.2259223,,
10.464837,,,6.6557307,,
12.972604,,,2.1105747,,
16.296896,,,21.31074,,
13.7634325,,,4.7656455,,
7.2179627,,,11.020693,,
13.219214,,,9.153648,,
10.920465,,,3.3097947,,
0.006247295,,,17.317837,,
13.931825,,,0.5269326,,
7.9704094,,,6.5159035,,
0.45393872,,,8.055423,,
9.228247,,,0.5514316,,
15.781945,,,0.3419882,,
30.219683,,,10.389626,,
0.4972564,,,11.518637,,
20.463774,,,1.5385058,,
21.214504,,,3.2381516,,
14.372041,,,1.3152193,,
10.803441,,,2.6371274,,
17.383253,,,1.3433803,,
2.88855,,,5.7947297,,
8.322787,,,0.5095755,,
4.7591233,,,1.5999153,,
3.535017,,,1.540021,,
4.895515,,,4.0962834,,
3.270473,,,4.13783,,
14.16109,,,0.09801051,,
15.885669,,,2.1731873,,
15.130716,,,1.7807811,,
15.872942,,,3.7326577,,
5.838703,,,7.0885277,,
25.413275,,,14.638671,,
7.025648,,,6.039942,,
5.8831515,,,2.7453678,,
14.610323,,,4.537648,,
3.6562495,,,0.80811036,,
4.11554,,,2.6719246,,
15.173452,,,0.85244626,,
0.016094,,,20.019472,,
27.038176,,,0.08713321,,
7.0128894,,,1.8976854,,
13.274521,,,2.3483775,,
7.923618,,,1.9186975,,
11.291523,,,0.86921144,,
5.2293906,,,15.7999735,,
2.3466806,,,1.3711672,,
11.625082,,,0.38453788,,
4.1640167,,,1.6879596,,
17.003698,,,4.6105666,,
7.189853,,,2.2123532,,
1.2231106,,,0.24917504,,
0.19622904,,,12.219283,,
21.725965,,,1.0378832,,
26.277575,,,3.6773145,,
1.0355527,,,0.78571004,,
13.38471,,,5.823321,,
20.63535,,,16.056625,,
0.37748718,,,26.774473,,
2.2642608,,,2.5542765,,
15.881143,,,2.546746,,
5.2422476,,,1.1923974,,
1.5192311,,,3.0592723,,
3.3419018,,,2.4891274,,
12.481007,,,8.77833,,
20.660244,,,8.095126,,
23.013384,,,2.112088,,
6.528183,,,5.4328346,,
0.20806262,,,0.55095583,,
2.4232416,,,2.5110347,,
4.8219585,,,1.6213629,,
5.070788,,,3.298163,,
9.538333,,,0.7685285,,
16.147232,,,10.223197,,
2.6402118,,,1.3602376,,
19.825378,,,7.731707,,
11.022657,,,0.71572876,,
6.076538,,,9.936534,,
9.068322,,,3.2810078,,
23.725197,,,1.8092638,,
0.13295531,,,14.14821,,
9.758237,,,0.6224591,,
14.112821,,,0.27359816,,
8.25756,,,2.617785,,
3.9299262,,,11.539192,,
0.54855025,,,2.352866,,
10.936247,,,11.363404,,
3.2864904,,,0.13806218,,
23.58909,,,3.7380507,,
24.428534,,,3.0338435,,
51.210205,,,0.12434767,,
5.464472,,,13.374649,,
11.220067,,,15.20182,,
5.8123612,,,9.268798,,
4.347634,,,9.293178,,
9.029222,,,0.88889784,,
24.471088,,,2.2136223,,
42.911884,,,7.1360407,,
3.3493798,,,4.796199,,
7.795821,,,7.163017,,
16.810968,,,4.772235,,
8.073705,,,2.5868213,,
27.326294,,,9.526109,,
6.5424933,,,0.3024595,,
20.046837,,,0.41338563,,
0.24550761,,,3.7084208,,
22.812716,,,3.382431,,
6.193554,,,12.9078665,,
7.3212476,,,1.88841,,
2.0588534,,,2.069301,,
0.46650136,,,12.522627,,
11.551539,,,3.5562403,,
24.211954,,,4.269176,,
16.499805,,,7.068447,,
5.2986255,,,2.2186186,,
3.818709,,,1.5613133,,
7.1596475,,,1.9399133,,
79.32749,,,2.0804763,,
22.02296,,,9.714126,,
1.3599194,,,6.0210466,,
4.8549314,,,1.0537671,,
2.2182043,,,3.0744412,,
7.716093,,,22.023993,,
6.757889,,,2.174474,,
2.7581897,,,1.1074489,,
53.247433,,,1.6210114,,
10.01361,,,0.66551644,,
1.0213537,,,0.59908015,,
10.834287,,,8.0998745,,
33.28404,,,2.0635357,,
10.935651,,,3.9542706,,
24.399202,,,4.8924913,,
0.53663415,,,10.625895,,
3.1831493,,,2.3246195,,
68.9842,,,8.434801,,
4.157629,,,4.7309484,,
24.342928,,,1.7624179,,
27.36313,,,1.1450161,,
3.7485666,,,1.8736519,,
2.413448,,,0.44579363,,
10.44726,,,6.7983913,,
1.572416,,,6.8136144,,
1.388357,,,0.3734696,,
3.728948,,,1.3511516,,
21.53868,,,3.5165355,,
5.134025,,,10.918918,,
15.6423235,,,0.58886105,,
40.350956,,,4.8773036,,
2.111895,,,3.1469955,,
0.9026716,,,3.1978023,,
0.9399285,,,0.97444975,,
16.652338,,,7.4874387,,
1.3189349,,,8.356088,,
3.858031,,,14.151994,,
22.683495,,,13.053673,,
3.3426528,,,5.966022,,
9.773716,,,3.3922048,,
2.4476895,,,7.4936743,,
8.480432,,,5.0800962,,
0.34013516,,,3.8883233,,
9.821314,,,0.1588685,,
11.387557,,,11.829718,,
0.84444815,,,1.135836,,
3.6949267,,,1.105197,,
8.190028,,,0.6401696,,
18.120934,,,6.142947,,
7.1387663,,,19.270805,,
1.6414187,,,1.0502685,,
13.14842,,,3.565714,,
5.283499,,,1.3839128,,
4.751547,,,12.694368,,
9.2954445,,,3.3719308,,
15.6136675,,,9.44607,,
30.426603,,,2.7074432,,
0.8662322,,,17.715652,,
12.295658,,,1.9966656,,
21.542042,,,1.6159166,,
3.0210853,,,4.4297376,,
3.9855657,,,8.226772,,
12.022355,,,1.0896481,,
1.1215317,,,5.235965,,
7.927474,,,2.3768518,,
4.923809,,,12.5034,,
0.49522334,,,2.7151577,,
7.1208653,,,9.281714,,
1.9151216,,,17.152657,,
18.89462,,,4.620959,,
2.42151,,,4.3109393,,
5.3173,,,15.563787,,
31.820068,,,0.70895976,,
15.914067,,,2.6156538,,
0.2958374,,,5.51979,,
17.980993,,,0.30272886,,
