Current Time,Inspector 1,Inspector 2,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Workstation 1,W1-C1,Workstation 2,W2-C1,W2-C2,Workstation 3,W3-C1,W3-C3 
0,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,false,BLOCKED,false,false
9.41,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,false
14.19,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
15.5,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
19.85,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
22.46,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,false
28.32,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,false
35.31,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
39.57,INSCPECTING,INSCPECTING,1,0,1,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
42.4,INSCPECTING,INSCPECTING,1,0,1,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,false
46.67,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,false
51.57,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
52.74,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,false
53.25,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
54.08,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
59.23,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
61.41,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,false
77.98,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,false
79.32,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
82.96,INSCPECTING,INSCPECTING,1,0,1,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
84.28,INSCPECTING,INSCPECTING,1,0,1,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
88.11,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
94.0,INSCPECTING,INSCPECTING,0,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
95.55,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
97.67,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
102.53,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
103.59,INSCPECTING,BLOCKED,1,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
106.95,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
107.42,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
108.47,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
115.35,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
124.39,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
124.91,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
144.76,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
153.84,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
164.43,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
169.95,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
174.34,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
174.96,INSCPECTING,BLOCKED,1,0,2,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
